date,tmax_c,tmin_c,tmax_f,tmin_f,city_x,respondent,respondent-name,type,type-name,timezone,timezone-description,energy_mwh,value-units,city_y,city
2025-04-28,2.44,1.06,36.39,33.91,new_york,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,337969,megawatthours,new_york,new_york
2025-04-29,2.61,1.33,36.7,34.39,new_york,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,351109,megawatthours,new_york,new_york
2025-04-30,2.28,1.5,36.1,34.7,new_york,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,344858,megawatthours,new_york,new_york
2025-05-01,2.17,1.11,35.91,34.0,new_york,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,342656,megawatthours,new_york,new_york
2025-05-02,2.89,1.39,37.2,34.5,new_york,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,366165,megawatthours,new_york,new_york
2025-05-03,2.94,1.72,37.29,35.1,new_york,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,359272,megawatthours,new_york,new_york
2025-05-04,2.06,1.56,35.71,34.81,new_york,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,349654,megawatthours,new_york,new_york
2025-05-05,1.61,1.39,34.9,34.5,new_york,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,375255,megawatthours,new_york,new_york
2025-05-06,1.78,1.39,35.2,34.5,new_york,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,360106,megawatthours,new_york,new_york
2025-05-07,2.33,1.28,36.19,34.3,new_york,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,357887,megawatthours,new_york,new_york
2025-05-08,2.56,1.56,36.61,34.81,new_york,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,369593,megawatthours,new_york,new_york
2025-05-09,1.56,1.06,34.81,33.91,new_york,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,371722,megawatthours,new_york,new_york
2025-05-10,2.22,1.0,36.0,33.8,new_york,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,318627,megawatthours,new_york,new_york
2025-05-11,2.5,1.44,36.5,34.59,new_york,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,314294,megawatthours,new_york,new_york
2025-05-12,2.22,1.39,36.0,34.5,new_york,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,351424,megawatthours,new_york,new_york
