date,tmax_c,tmin_c,tmax_f,tmin_f,city_x,respondent,respondent-name,type,type-name,timezone,timezone-description,energy_mwh,value-units,city_y,city
2025-04-28,2.78,1.5,37.0,34.7,phoenix,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,75494,megawatthours,phoenix,phoenix
2025-04-29,3.11,1.72,37.6,35.1,phoenix,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,79864,megawatthours,phoenix,phoenix
2025-04-30,3.28,1.78,37.9,35.2,phoenix,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,91101,megawatthours,phoenix,phoenix
2025-05-01,3.44,2.0,38.19,35.6,phoenix,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,87428,megawatthours,phoenix,phoenix
2025-05-02,3.44,2.17,38.19,35.91,phoenix,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,89109,megawatthours,phoenix,phoenix
2025-05-03,3.61,2.11,38.5,35.8,phoenix,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,87848,megawatthours,phoenix,phoenix
2025-05-04,2.83,1.83,37.09,35.29,phoenix,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,76402,megawatthours,phoenix,phoenix
2025-05-05,2.33,1.5,36.19,34.7,phoenix,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,79407,megawatthours,phoenix,phoenix
2025-05-06,2.5,1.67,36.5,35.01,phoenix,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,83405,megawatthours,phoenix,phoenix
2025-05-07,3.0,1.83,37.4,35.29,phoenix,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,82119,megawatthours,phoenix,phoenix
2025-05-08,3.5,1.89,38.3,35.4,phoenix,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,90021,megawatthours,phoenix,phoenix
2025-05-09,4.0,2.28,39.2,36.1,phoenix,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,103394,megawatthours,phoenix,phoenix
2025-05-10,3.94,2.56,39.09,36.61,phoenix,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,104585,megawatthours,phoenix,phoenix
2025-05-11,4.0,2.5,39.2,36.5,phoenix,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,103311,megawatthours,phoenix,phoenix
2025-05-12,3.83,2.67,38.89,36.81,phoenix,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,108451,megawatthours,phoenix,phoenix
2025-05-13,3.22,2.39,37.8,36.3,phoenix,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,91116,megawatthours,phoenix,phoenix
2025-05-14,2.89,1.89,37.2,35.4,phoenix,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,88982,megawatthours,phoenix,phoenix
2025-05-15,3.17,1.83,37.71,35.29,phoenix,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,94742,megawatthours,phoenix,phoenix
2025-05-16,3.44,1.94,38.19,35.49,phoenix,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,93509,megawatthours,phoenix,phoenix
2025-05-17,3.5,2.11,38.3,35.8,phoenix,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,88837,megawatthours,phoenix,phoenix
2025-05-18,3.0,1.94,37.4,35.49,phoenix,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,84452,megawatthours,phoenix,phoenix
2025-05-19,3.44,2.11,38.19,35.8,phoenix,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,93963,megawatthours,phoenix,phoenix
2025-05-20,3.72,2.11,38.7,35.8,phoenix,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,104672,megawatthours,phoenix,phoenix
2025-05-21,3.89,2.17,39.0,35.91,phoenix,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,108231,megawatthours,phoenix,phoenix
2025-05-22,4.11,2.33,39.4,36.19,phoenix,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,108812,megawatthours,phoenix,phoenix
2025-05-23,3.94,2.33,39.09,36.19,phoenix,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,106330,megawatthours,phoenix,phoenix
2025-05-24,3.78,2.39,38.8,36.3,phoenix,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,99916,megawatthours,phoenix,phoenix
2025-05-25,3.67,2.28,38.61,36.1,phoenix,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,95885,megawatthours,phoenix,phoenix
2025-05-26,3.78,2.28,38.8,36.1,phoenix,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,97556,megawatthours,phoenix,phoenix
2025-05-27,3.83,2.39,38.89,36.3,phoenix,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,105337,megawatthours,phoenix,phoenix
2025-05-28,3.94,2.33,39.09,36.19,phoenix,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,107031,megawatthours,phoenix,phoenix
2025-05-29,3.83,2.61,38.89,36.7,phoenix,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,104830,megawatthours,phoenix,phoenix
2025-05-30,4.0,2.28,39.2,36.1,phoenix,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,110731,megawatthours,phoenix,phoenix
2025-05-31,3.89,2.78,39.0,37.0,phoenix,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,116771,megawatthours,phoenix,phoenix
