city,month,avg_energy_mwh
chicago,4,2005603.3333333333
chicago,5,1974055.677419355
chicago,6,2495842.8
chicago,7,2736516.652173913
houston,4,1298328.0
houston,5,1329208.8064516129
houston,6,1506033.3666666667
houston,7,1520434.4347826086
new_york,4,344645.3333333333
new_york,5,355628.06451612903
new_york,6,441725.6666666667
new_york,7,514730.1304347826
phoenix,4,82153.0
phoenix,5,96683.32258064517
phoenix,6,123608.63333333333
phoenix,7,140274.65217391305
seattle,4,24987.0
seattle,5,22524.612903225807
seattle,6,22732.866666666665
seattle,7,23832.478260869564
