date,respondent,respondent-name,type,type-name,timezone,timezone-description,demand,value-units,city
2025-04-22,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1972440,megawatthours,chicago
2025-04-23,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1965444,megawatthours,chicago
2025-04-24,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1991453,megawatthours,chicago
2025-04-25,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1973234,megawatthours,chicago
2025-04-26,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1844781,megawatthours,chicago
2025-04-27,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1744074,megawatthours,chicago
2025-04-28,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1953655,megawatthours,chicago
2025-04-29,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2026336,megawatthours,chicago
2025-04-30,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2036819,megawatthours,chicago
2025-05-01,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2060594,megawatthours,chicago
2025-05-02,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2092208,megawatthours,chicago
2025-05-03,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1955557,megawatthours,chicago
2025-05-04,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1883414,megawatthours,chicago
2025-05-05,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2005714,megawatthours,chicago
2025-05-06,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1984170,megawatthours,chicago
2025-05-07,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1986506,megawatthours,chicago
2025-05-08,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2025767,megawatthours,chicago
2025-05-09,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1923250,megawatthours,chicago
2025-05-10,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1775888,megawatthours,chicago
2025-05-11,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1820740,megawatthours,chicago
2025-05-12,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2043592,megawatthours,chicago
2025-05-13,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2082434,megawatthours,chicago
2025-05-14,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2107695,megawatthours,chicago
2025-05-15,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2261689,megawatthours,chicago
2025-05-16,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2277799,megawatthours,chicago
2025-05-17,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2026227,megawatthours,chicago
2025-05-18,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1897291,megawatthours,chicago
2025-05-19,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2010845,megawatthours,chicago
2025-05-20,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1974841,megawatthours,chicago
2025-05-21,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1996622,megawatthours,chicago
2025-05-22,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1978006,megawatthours,chicago
2025-05-23,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1903861,megawatthours,chicago
2025-05-24,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1765202,megawatthours,chicago
2025-05-25,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1733998,megawatthours,chicago
2025-05-26,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1777526,megawatthours,chicago
2025-05-27,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1960824,megawatthours,chicago
2025-05-28,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1992338,megawatthours,chicago
2025-05-29,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2024387,megawatthours,chicago
2025-05-30,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2044019,megawatthours,chicago
2025-05-31,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1822722,megawatthours,chicago
2025-06-01,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1782552,megawatthours,chicago
2025-06-02,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1999280,megawatthours,chicago
2025-06-03,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2192466,megawatthours,chicago
2025-06-04,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2354915,megawatthours,chicago
2025-06-05,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2401925,megawatthours,chicago
2025-06-06,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2380416,megawatthours,chicago
2025-06-07,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2199151,megawatthours,chicago
2025-06-08,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2089649,megawatthours,chicago
2025-06-09,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2241398,megawatthours,chicago
2025-06-10,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2284063,megawatthours,chicago
2025-06-11,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2402778,megawatthours,chicago
