date,respondent,respondent-name,type,type-name,timezone,timezone-description,demand,value-units,city
2025-04-22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1285560,megawatthours,houston
2025-04-23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1247638,megawatthours,houston
2025-04-24,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1237172,megawatthours,houston
2025-04-25,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1261867,megawatthours,houston
2025-04-26,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1242070,megawatthours,houston
2025-04-27,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1274196,megawatthours,houston
2025-04-28,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1323896,megawatthours,houston
2025-04-29,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1307918,megawatthours,houston
2025-04-30,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1263170,megawatthours,houston
2025-05-01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1273096,megawatthours,houston
2025-05-02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1189727,megawatthours,houston
2025-05-03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1102903,megawatthours,houston
2025-05-04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1114796,megawatthours,houston
2025-05-05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1151316,megawatthours,houston
2025-05-06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1185381,megawatthours,houston
2025-05-07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1222940,megawatthours,houston
2025-05-08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1214235,megawatthours,houston
2025-05-09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1189951,megawatthours,houston
2025-05-10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1145071,megawatthours,houston
2025-05-11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1110723,megawatthours,houston
2025-05-12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1252353,megawatthours,houston
2025-05-13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1406912,megawatthours,houston
2025-05-14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1484450,megawatthours,houston
2025-05-15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1463810,megawatthours,houston
2025-05-16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1472815,megawatthours,houston
2025-05-17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1450839,megawatthours,houston
2025-05-18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1419175,megawatthours,houston
2025-05-19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1467411,megawatthours,houston
2025-05-20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1429415,megawatthours,houston
2025-05-21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1386664,megawatthours,houston
2025-05-22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1483819,megawatthours,houston
2025-05-23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1517942,megawatthours,houston
2025-05-24,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1519272,megawatthours,houston
2025-05-25,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1514585,megawatthours,houston
2025-05-26,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1323574,megawatthours,houston
2025-05-27,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1353527,megawatthours,houston
2025-05-28,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1305592,megawatthours,houston
2025-05-29,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1395401,megawatthours,houston
2025-05-30,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1313614,megawatthours,houston
2025-05-31,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1344164,megawatthours,houston
2025-06-01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1401155,megawatthours,houston
2025-06-02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1515859,megawatthours,houston
2025-06-03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1503443,megawatthours,houston
2025-06-04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1430566,megawatthours,houston
2025-06-05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1497131,megawatthours,houston
2025-06-06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1560969,megawatthours,houston
2025-06-07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1539505,megawatthours,houston
2025-06-08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1537993,megawatthours,houston
2025-06-09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1511311,megawatthours,houston
2025-06-10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1442103,megawatthours,houston
2025-06-11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1344413,megawatthours,houston
2025-06-12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1324651,megawatthours,houston
2025-06-13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1478109,megawatthours,houston
2025-06-14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1497221,megawatthours,houston
2025-06-15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1392704,megawatthours,houston
2025-06-16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1493099,megawatthours,houston
2025-06-17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1561290,megawatthours,houston
2025-06-18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1578528,megawatthours,houston
2025-06-19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1597362,megawatthours,houston
