date,respondent,respondent-name,type,type-name,timezone,timezone-description,demand,value-units,city
2025-04-15,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,359103,megawatthours,new_york
2025-04-16,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,383841,megawatthours,new_york
2025-04-17,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,345024,megawatthours,new_york
2025-04-18,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,342717,megawatthours,new_york
2025-04-19,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,339863,megawatthours,new_york
2025-04-20,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,308781,megawatthours,new_york
2025-04-21,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,360073,megawatthours,new_york
2025-04-22,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,349802,megawatthours,new_york
2025-04-23,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,339599,megawatthours,new_york
2025-04-24,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,348022,megawatthours,new_york
2025-04-25,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,357567,megawatthours,new_york
2025-04-26,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,350143,megawatthours,new_york
2025-04-27,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,319384,megawatthours,new_york
2025-04-28,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,337969,megawatthours,new_york
2025-04-29,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,351109,megawatthours,new_york
2025-04-30,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,344858,megawatthours,new_york
2025-05-01,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,342656,megawatthours,new_york
2025-05-02,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,366165,megawatthours,new_york
2025-05-03,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,359272,megawatthours,new_york
