date,respondent,respondent-name,type,type-name,timezone,timezone-description,demand,value-units,city
2025-04-22,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,82373,megawatthours,phoenix
2025-04-23,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,82526,megawatthours,phoenix
2025-04-24,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,82493,megawatthours,phoenix
2025-04-25,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,81015,megawatthours,phoenix
2025-04-26,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,72838,megawatthours,phoenix
2025-04-27,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,67633,megawatthours,phoenix
2025-04-28,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,75494,megawatthours,phoenix
2025-04-29,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,79864,megawatthours,phoenix
2025-04-30,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,91101,megawatthours,phoenix
2025-05-01,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,87428,megawatthours,phoenix
2025-05-02,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,89109,megawatthours,phoenix
2025-05-03,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,87848,megawatthours,phoenix
2025-05-04,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,76402,megawatthours,phoenix
2025-05-05,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,79407,megawatthours,phoenix
2025-05-06,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,83405,megawatthours,phoenix
2025-05-07,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,82119,megawatthours,phoenix
2025-05-08,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,90021,megawatthours,phoenix
2025-05-09,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,103394,megawatthours,phoenix
2025-05-10,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,104585,megawatthours,phoenix
2025-05-11,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,103311,megawatthours,phoenix
2025-05-12,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,108451,megawatthours,phoenix
2025-05-13,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,91116,megawatthours,phoenix
2025-05-14,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,88982,megawatthours,phoenix
2025-05-15,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,94742,megawatthours,phoenix
2025-05-16,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,93509,megawatthours,phoenix
2025-05-17,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,88837,megawatthours,phoenix
2025-05-18,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,84452,megawatthours,phoenix
2025-05-19,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,93963,megawatthours,phoenix
2025-05-20,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,104672,megawatthours,phoenix
2025-05-21,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,108231,megawatthours,phoenix
2025-05-22,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,108812,megawatthours,phoenix
2025-05-23,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,106330,megawatthours,phoenix
2025-05-24,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,99916,megawatthours,phoenix
2025-05-25,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,95885,megawatthours,phoenix
2025-05-26,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,97556,megawatthours,phoenix
2025-05-27,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,105337,megawatthours,phoenix
2025-05-28,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,107031,megawatthours,phoenix
2025-05-29,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,104830,megawatthours,phoenix
2025-05-30,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,110731,megawatthours,phoenix
2025-05-31,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,116771,megawatthours,phoenix
2025-06-01,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,103800,megawatthours,phoenix
2025-06-02,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,96907,megawatthours,phoenix
2025-06-03,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,109967,megawatthours,phoenix
2025-06-04,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,110125,megawatthours,phoenix
2025-06-05,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,111256,megawatthours,phoenix
2025-06-06,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,115655,megawatthours,phoenix
2025-06-07,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,110629,megawatthours,phoenix
2025-06-08,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,109708,megawatthours,phoenix
2025-06-09,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,122465,megawatthours,phoenix
2025-06-10,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,124510,megawatthours,phoenix
2025-06-11,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,124732,megawatthours,phoenix
2025-06-12,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,122683,megawatthours,phoenix
2025-06-13,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,119912,megawatthours,phoenix
2025-06-14,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,122880,megawatthours,phoenix
2025-06-15,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,129004,megawatthours,phoenix
2025-06-16,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,137265,megawatthours,phoenix
2025-06-17,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,139193,megawatthours,phoenix
2025-06-18,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,141064,megawatthours,phoenix
2025-06-19,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,140832,megawatthours,phoenix
2025-06-20,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,128192,megawatthours,phoenix
2025-06-21,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,121415,megawatthours,phoenix
2025-06-22,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,113776,megawatthours,phoenix
2025-06-23,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,120139,megawatthours,phoenix
