city,date,energy_mwh,region_code,region_name
Houston,2025-04-11,1190729,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-11,928,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-11,1010,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-11,1133,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-11,1194,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-11,928,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-11,1191633,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-11,1191475,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-11,1191500,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-11,1191657,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-11,1191657,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-11,1193057,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-11,1194256,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-11,1193446,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-11,1192654,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-11,1190729,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-11,1190623,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-11,1190342,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-11,1190306,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-11,1192654,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-12,1165168,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-12,1167081,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-12,1168492,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-12,83,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-12,83,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-12,-420,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-12,-99,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-12,1165982,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-12,-321,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-12,1168492,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-12,1168415,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-12,1155680,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-12,1153194,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-12,1153126,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-12,1158772,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-12,1167186,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-12,1165595,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-12,1166309,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-12,1168415,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-12,1158772,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-13,1220789,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-13,1223719,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-13,1224746,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-13,2923,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-13,2923,ERCO,"Electric Reliability Council of Texas, Inc."
Houston,2025-04-13,2839,ERCO,"Electric Reliability Council of Texas, Inc."
