date,tmax_c,tmin_c,tmax_f,tmin_f,city
2025-04-13,1.78,1.11,35.2,34.0,chicago
2025-04-14,1.78,0.89,35.2,33.6,chicago
2025-04-15,1.33,0.33,34.39,32.59,chicago
2025-04-16,1.06,0.17,33.91,32.31,chicago
2025-04-17,1.78,0.39,35.2,32.7,chicago
2025-04-18,2.44,1.56,36.39,34.81,chicago
2025-04-19,1.56,0.67,34.81,33.21,chicago
2025-04-20,1.5,0.72,34.7,33.3,chicago
2025-04-21,1.61,0.72,34.9,33.3,chicago
2025-04-22,2.33,0.5,36.19,32.9,chicago
2025-04-23,2.44,1.33,36.39,34.39,chicago
2025-04-24,2.39,1.06,36.3,33.91,chicago
2025-04-25,1.5,0.83,34.7,33.49,chicago
2025-04-26,1.22,0.5,34.2,32.9,chicago
2025-04-27,2.06,0.39,35.71,32.7,chicago
2025-04-28,2.89,1.17,37.2,34.11,chicago
2025-04-29,2.5,1.0,36.5,33.8,chicago
2025-04-30,1.61,0.67,34.9,33.21,chicago
2025-05-01,2.0,1.06,35.6,33.91,chicago
2025-05-02,1.39,0.78,34.5,33.4,chicago
2025-05-03,1.22,0.67,34.2,33.21,chicago
2025-05-04,1.5,0.72,34.7,33.3,chicago
2025-05-05,1.61,0.83,34.9,33.49,chicago
2025-05-06,2.5,0.83,36.5,33.49,chicago
2025-05-07,2.39,0.89,36.3,33.6,chicago
2025-05-08,1.44,0.5,34.59,32.9,chicago
2025-05-09,1.94,0.28,35.49,32.5,chicago
2025-05-10,2.28,0.78,36.1,33.4,chicago
2025-05-11,2.17,0.56,35.91,33.01,chicago
2025-05-12,2.67,0.89,36.81,33.6,chicago
2025-05-13,2.56,1.44,36.61,34.59,chicago
2025-05-14,2.67,1.33,36.81,34.39,chicago
2025-05-15,3.44,1.39,38.19,34.5,chicago
2025-05-16,3.11,1.56,37.6,34.81,chicago
2025-05-17,2.17,1.22,35.91,34.2,chicago
2025-05-18,1.78,0.72,35.2,33.3,chicago
2025-05-19,1.28,0.61,34.3,33.1,chicago
2025-05-20,1.33,0.89,34.39,33.6,chicago
2025-05-21,1.11,0.89,34.0,33.6,chicago
2025-05-22,1.39,0.78,34.5,33.4,chicago
2025-05-23,1.83,0.56,35.29,33.01,chicago
2025-05-24,1.89,0.67,35.4,33.21,chicago
2025-05-25,1.89,0.83,35.4,33.49,chicago
2025-05-26,1.94,0.78,35.49,33.4,chicago
2025-05-27,2.06,1.11,35.71,34.0,chicago
2025-05-28,1.72,1.28,35.1,34.3,chicago
2025-05-29,2.11,1.17,35.8,34.11,chicago
2025-05-30,2.28,1.17,36.1,34.11,chicago
2025-05-31,1.78,1.0,35.2,33.8,chicago
2025-06-01,2.11,0.78,35.8,33.4,chicago
2025-06-02,2.89,1.0,37.2,33.8,chicago
2025-06-03,3.17,2.0,37.71,35.6,chicago
2025-06-04,2.17,1.28,35.91,34.3,chicago
2025-06-05,2.22,1.22,36.0,34.2,chicago
2025-06-06,2.5,1.39,36.5,34.5,chicago
2025-06-07,2.5,1.22,36.5,34.2,chicago
2025-06-08,2.72,1.5,36.9,34.7,chicago
2025-06-09,2.17,1.28,35.91,34.3,chicago
2025-06-10,2.56,1.28,36.61,34.3,chicago
2025-06-11,3.33,1.78,37.99,35.2,chicago
2025-06-12,2.61,1.67,36.7,35.01,chicago
2025-06-13,2.17,1.5,35.91,34.7,chicago
2025-06-14,2.44,1.44,36.39,34.59,chicago
2025-06-15,2.78,1.39,37.0,34.5,chicago
2025-06-16,3.11,1.61,37.6,34.9,chicago
2025-06-17,3.33,2.17,37.99,35.91,chicago
2025-06-18,2.72,1.89,36.9,35.4,chicago
2025-06-19,2.94,1.83,37.29,35.29,chicago
2025-06-20,3.0,2.06,37.4,35.71,chicago
2025-06-21,3.44,2.56,38.19,36.61,chicago
2025-06-22,3.44,2.67,38.19,36.81,chicago
2025-06-23,3.5,2.61,38.3,36.7,chicago
2025-06-24,3.44,2.33,38.19,36.19,chicago
2025-06-25,3.17,2.17,37.71,35.91,chicago
2025-06-26,3.44,2.5,38.19,36.5,chicago
2025-06-27,3.06,2.22,37.51,36.0,chicago
2025-06-28,3.22,2.0,37.8,35.6,chicago
2025-06-29,3.44,2.28,38.19,36.1,chicago
2025-06-30,3.22,2.33,37.8,36.19,chicago
2025-07-01,3.06,2.11,37.51,35.8,chicago
2025-07-02,3.28,2.17,37.9,35.91,chicago
2025-07-03,3.5,2.22,38.3,36.0,chicago
2025-07-04,3.33,2.33,37.99,36.19,chicago
2025-07-05,3.44,2.44,38.19,36.39,chicago
2025-07-06,2.94,1.89,37.29,35.4,chicago
2025-07-07,2.83,1.83,37.09,35.29,chicago
2025-07-08,2.89,2.06,37.2,35.71,chicago
2025-07-09,2.94,2.06,37.29,35.71,chicago
2025-07-10,2.94,1.94,37.29,35.49,chicago
2025-07-11,3.22,2.11,37.8,35.8,chicago
