date,tmax_c,tmin_c,tmax_f,tmin_f,city
2025-04-20,3.06,2.33,37.51,36.19,houston
2025-04-21,3.0,2.11,37.4,35.8,houston
2025-04-22,3.06,1.94,37.51,35.49,houston
2025-04-23,2.5,2.06,36.5,35.71,houston
2025-04-24,2.94,1.94,37.29,35.49,houston
2025-04-25,3.11,1.94,37.6,35.49,houston
2025-04-26,3.06,2.0,37.51,35.6,houston
2025-04-27,3.11,2.11,37.6,35.8,houston
2025-04-28,3.0,2.17,37.4,35.91,houston
2025-04-29,2.89,2.11,37.2,35.8,houston
2025-04-30,3.0,2.33,37.4,36.19,houston
2025-05-01,3.17,2.17,37.71,35.91,houston
2025-05-02,3.0,2.0,37.4,35.6,houston
2025-05-03,2.78,1.78,37.0,35.2,houston
2025-05-04,2.83,1.5,37.09,34.7,houston
2025-05-05,2.72,1.56,36.9,34.81,houston
2025-05-06,2.89,1.94,37.2,35.49,houston
2025-05-07,2.94,2.06,37.29,35.71,houston
2025-05-08,3.22,1.94,37.8,35.49,houston
2025-05-09,2.94,2.0,37.29,35.6,houston
2025-05-10,2.89,1.83,37.2,35.29,houston
2025-05-11,2.78,1.67,37.0,35.01,houston
2025-05-12,3.0,1.61,37.4,34.9,houston
2025-05-13,3.5,2.06,38.3,35.71,houston
2025-05-14,3.56,2.39,38.41,36.3,houston
2025-05-15,3.5,2.5,38.3,36.5,houston
2025-05-16,3.39,2.72,38.1,36.9,houston
2025-05-17,3.44,2.61,38.19,36.7,houston
2025-05-18,3.33,2.72,37.99,36.9,houston
2025-05-19,3.33,2.67,37.99,36.81,houston
2025-05-20,3.56,2.72,38.41,36.9,houston
2025-05-21,3.17,2.44,37.71,36.39,houston
2025-05-22,3.44,2.5,38.19,36.5,houston
2025-05-23,3.44,2.44,38.19,36.39,houston
2025-05-24,3.56,2.67,38.41,36.81,houston
2025-05-25,3.5,2.78,38.3,37.0,houston
2025-05-26,3.11,2.11,37.6,35.8,houston
2025-05-27,3.28,2.0,37.9,35.6,houston
2025-05-28,2.78,2.22,37.0,36.0,houston
2025-05-29,3.44,2.17,38.19,35.91,houston
2025-05-30,3.17,2.39,37.71,36.3,houston
2025-05-31,3.22,2.39,37.8,36.3,houston
2025-06-01,3.39,2.22,38.1,36.0,houston
2025-06-02,3.39,2.39,38.1,36.3,houston
2025-06-03,3.22,2.33,37.8,36.19,houston
2025-06-04,3.33,2.61,37.99,36.7,houston
2025-06-05,3.44,2.44,38.19,36.39,houston
2025-06-06,3.5,2.67,38.3,36.81,houston
2025-06-07,3.61,2.61,38.5,36.7,houston
2025-06-08,3.67,2.61,38.61,36.7,houston
2025-06-09,3.44,2.22,38.19,36.0,houston
2025-06-10,3.39,2.5,38.1,36.5,houston
2025-06-11,2.83,2.33,37.09,36.19,houston
2025-06-12,2.72,2.17,36.9,35.91,houston
2025-06-13,3.33,2.28,37.99,36.1,houston
2025-06-14,3.39,2.5,38.1,36.5,houston
2025-06-15,3.44,2.28,38.19,36.1,houston
2025-06-16,3.33,2.33,37.99,36.19,houston
2025-06-17,3.5,2.5,38.3,36.5,houston
2025-06-18,3.5,2.61,38.3,36.7,houston
2025-06-19,3.5,2.61,38.3,36.7,houston
2025-06-20,3.56,2.61,38.41,36.7,houston
2025-06-21,3.56,2.72,38.41,36.9,houston
2025-06-22,3.44,2.56,38.19,36.61,houston
2025-06-23,3.44,2.56,38.19,36.61,houston
2025-06-24,3.56,2.5,38.41,36.5,houston
2025-06-25,3.17,2.44,37.71,36.39,houston
2025-06-26,3.5,2.44,38.3,36.39,houston
2025-06-27,3.44,2.39,38.19,36.3,houston
2025-06-28,3.5,2.39,38.3,36.3,houston
2025-06-29,3.39,2.44,38.1,36.39,houston
2025-06-30,3.44,2.33,38.19,36.19,houston
2025-07-01,3.61,2.39,38.5,36.3,houston
2025-07-02,3.56,2.5,38.41,36.5,houston
2025-07-03,3.44,2.39,38.19,36.3,houston
2025-07-04,3.28,2.39,37.9,36.3,houston
2025-07-05,3.44,2.56,38.19,36.61,houston
2025-07-06,3.56,2.44,38.41,36.39,houston
2025-07-07,3.5,2.56,38.3,36.61,houston
2025-07-08,3.28,2.28,37.9,36.1,houston
2025-07-09,3.28,2.28,37.9,36.1,houston
2025-07-10,3.5,2.56,38.3,36.61,houston
2025-07-11,3.39,2.61,38.1,36.7,houston
2025-07-12,3.5,2.61,38.3,36.7,houston
2025-07-13,3.5,2.44,38.3,36.39,houston
2025-07-14,3.33,2.33,37.99,36.19,houston
2025-07-15,3.5,2.44,38.3,36.39,houston
2025-07-16,3.61,2.61,38.5,36.7,houston
2025-07-17,3.33,2.39,37.99,36.3,houston
2025-07-18,3.44,2.61,38.19,36.7,houston
