date,tmax_c,tmin_c,tmax_f,tmin_f,city
2025-04-13,1.44,0.39,34.59,32.7,new_york
2025-04-14,1.89,0.89,35.4,33.6,new_york
2025-04-15,2.06,0.89,35.71,33.6,new_york
2025-04-16,1.0,0.67,33.8,33.21,new_york
2025-04-17,1.78,0.56,35.2,33.01,new_york
2025-04-18,2.0,0.89,35.6,33.6,new_york
2025-04-19,2.94,1.22,37.29,34.2,new_york
2025-04-20,2.28,1.28,36.1,34.3,new_york
2025-04-21,1.39,1.0,34.5,33.8,new_york
2025-04-22,2.78,1.17,37.0,34.11,new_york
2025-04-23,2.44,1.22,36.39,34.2,new_york
2025-04-24,2.5,1.33,36.5,34.39,new_york
2025-04-25,2.5,1.56,36.5,34.81,new_york
2025-04-26,2.33,1.17,36.19,34.11,new_york
2025-04-27,1.5,0.89,34.7,33.6,new_york
2025-04-28,2.44,1.06,36.39,33.91,new_york
2025-04-29,2.61,1.33,36.7,34.39,new_york
2025-04-30,2.28,1.5,36.1,34.7,new_york
2025-05-01,2.17,1.11,35.91,34.0,new_york
2025-05-02,2.89,1.39,37.2,34.5,new_york
2025-05-03,2.94,1.72,37.29,35.1,new_york
2025-05-04,2.06,1.56,35.71,34.81,new_york
2025-05-05,1.61,1.39,34.9,34.5,new_york
2025-05-06,1.78,1.39,35.2,34.5,new_york
2025-05-07,2.33,1.28,36.19,34.3,new_york
2025-05-08,2.56,1.56,36.61,34.81,new_york
2025-05-09,1.56,1.06,34.81,33.91,new_york
2025-05-10,2.22,1.0,36.0,33.8,new_york
2025-05-11,2.5,1.44,36.5,34.59,new_york
2025-05-12,2.22,1.39,36.0,34.5,new_york
2025-05-13,2.06,1.44,35.71,34.59,new_york
2025-05-14,1.67,1.33,35.01,34.39,new_york
2025-05-15,2.06,1.5,35.71,34.7,new_york
2025-05-16,2.22,1.61,36.0,34.9,new_york
2025-05-17,2.78,1.72,37.0,35.1,new_york
2025-05-18,2.28,1.61,36.1,34.9,new_york
2025-05-19,2.06,1.06,35.71,33.91,new_york
2025-05-20,1.94,0.94,35.49,33.69,new_york
2025-05-21,1.5,0.94,34.7,33.69,new_york
2025-05-22,1.06,0.89,33.91,33.6,new_york
2025-05-23,1.72,0.83,35.1,33.49,new_york
2025-05-24,1.78,0.89,35.2,33.6,new_york
2025-05-25,1.89,1.11,35.4,34.0,new_york
2025-05-26,2.28,1.11,36.1,34.0,new_york
2025-05-27,2.33,1.39,36.19,34.5,new_york
2025-05-28,1.83,1.11,35.29,34.0,new_york
2025-05-29,1.94,1.28,35.49,34.3,new_york
2025-05-30,2.39,1.67,36.3,35.01,new_york
2025-05-31,1.94,1.17,35.49,34.11,new_york
2025-06-01,1.89,1.0,35.4,33.8,new_york
2025-06-02,2.17,1.17,35.91,34.11,new_york
2025-06-03,2.61,1.33,36.7,34.39,new_york
2025-06-04,2.83,1.67,37.09,35.01,new_york
2025-06-05,3.06,2.11,37.51,35.8,new_york
2025-06-06,2.89,2.17,37.2,35.91,new_york
2025-06-07,2.44,1.89,36.39,35.4,new_york
2025-06-08,2.44,1.72,36.39,35.1,new_york
2025-06-09,1.78,1.67,35.2,35.01,new_york
2025-06-10,2.28,1.67,36.1,35.01,new_york
2025-06-11,2.72,1.83,36.9,35.29,new_york
2025-06-12,3.06,2.11,37.51,35.8,new_york
2025-06-13,2.56,1.94,36.61,35.49,new_york
2025-06-14,2.0,1.5,35.6,34.7,new_york
2025-06-15,1.78,1.5,35.2,34.7,new_york
2025-06-16,2.06,1.56,35.71,34.81,new_york
2025-06-17,1.94,1.67,35.49,35.01,new_york
2025-06-18,2.89,1.83,37.2,35.29,new_york
2025-06-19,3.11,2.11,37.6,35.8,new_york
2025-06-20,2.78,1.94,37.0,35.49,new_york
2025-06-21,3.0,2.22,37.4,36.0,new_york
2025-06-22,3.11,2.17,37.6,35.91,new_york
2025-06-23,3.56,2.67,38.41,36.81,new_york
2025-06-24,3.72,2.72,38.7,36.9,new_york
2025-06-25,3.56,2.72,38.41,36.9,new_york
2025-06-26,2.94,1.89,37.29,35.4,new_york
2025-06-27,2.22,1.67,36.0,35.01,new_york
2025-06-28,2.83,1.72,37.09,35.1,new_york
2025-06-29,3.17,2.5,37.71,36.5,new_york
2025-06-30,3.22,2.17,37.8,35.91,new_york
2025-07-01,3.17,2.22,37.71,36.0,new_york
2025-07-02,2.89,2.17,37.2,35.91,new_york
2025-07-03,3.11,2.06,37.6,35.71,new_york
2025-07-04,2.83,1.94,37.09,35.49,new_york
2025-07-05,2.89,2.0,37.2,35.6,new_york
2025-07-06,3.06,2.22,37.51,36.0,new_york
2025-07-07,3.06,2.44,37.51,36.39,new_york
2025-07-08,3.39,2.28,38.1,36.1,new_york
2025-07-09,3.22,2.28,37.8,36.1,new_york
2025-07-10,2.89,2.11,37.2,35.8,new_york
2025-07-11,2.89,2.28,37.2,36.1,new_york
