date,TMAX,TMIN,tmax_f,tmin_f,city
2025-04-08,34.4,17.2,38.192,35.096000000000004,Phoenix
2025-04-09,36.7,17.8,38.606,35.204,Phoenix
2025-04-10,37.8,20.0,38.804,35.6,Phoenix
2025-04-11,39.4,20.6,39.092,35.708,Phoenix
2025-04-12,37.2,20.0,38.696,35.6,Phoenix
2025-04-13,34.4,20.6,38.192,35.708,Phoenix
2025-04-14,33.9,20.6,38.102,35.708,Phoenix
2025-04-15,34.4,19.4,38.192,35.492,Phoenix
2025-04-16,35.0,18.9,38.3,35.402,Phoenix
2025-04-17,27.8,17.8,37.004,35.204,Phoenix
2025-04-18,26.1,11.7,36.698,34.106,Phoenix
2025-04-19,23.9,12.2,36.302,34.196,Phoenix
2025-04-20,28.9,14.4,37.202,34.592,Phoenix
2025-04-21,32.8,17.2,37.903999999999996,35.096000000000004,Phoenix
2025-04-22,35.0,17.8,38.3,35.204,Phoenix
2025-04-23,32.8,18.9,37.903999999999996,35.402,Phoenix
2025-04-24,33.3,18.3,37.994,35.294,Phoenix
2025-04-25,34.4,18.9,38.192,35.402,Phoenix
2025-04-26,30.0,18.3,37.4,35.294,Phoenix
2025-04-27,26.7,16.7,36.806,35.006,Phoenix
2025-04-28,27.8,15.0,37.004,34.7,Phoenix
2025-04-29,31.1,17.2,37.598,35.096000000000004,Phoenix
2025-04-30,32.8,17.8,37.903999999999996,35.204,Phoenix
2025-05-01,34.4,20.0,38.192,35.6,Phoenix
2025-05-02,34.4,21.7,38.192,35.906,Phoenix
2025-05-03,36.1,21.1,38.498,35.798,Phoenix
2025-05-04,28.3,18.3,37.094,35.294,Phoenix
2025-05-05,23.3,15.0,36.194,34.7,Phoenix
2025-05-06,25.0,16.7,36.5,35.006,Phoenix
2025-05-07,30.0,18.3,37.4,35.294,Phoenix
2025-05-08,35.0,18.9,38.3,35.402,Phoenix
2025-05-09,40.0,22.8,39.2,36.104,Phoenix
2025-05-10,39.4,25.6,39.092,36.608,Phoenix
2025-05-11,40.0,25.0,39.2,36.5,Phoenix
2025-05-12,38.3,26.7,38.894,36.806,Phoenix
2025-05-13,32.2,23.9,37.796,36.302,Phoenix
2025-05-14,28.9,18.9,37.202,35.402,Phoenix
2025-05-15,31.7,18.3,37.706,35.294,Phoenix
2025-05-16,34.4,19.4,38.192,35.492,Phoenix
2025-05-17,35.0,21.1,38.3,35.798,Phoenix
2025-05-18,30.0,19.4,37.4,35.492,Phoenix
2025-05-19,34.4,21.1,38.192,35.798,Phoenix
2025-05-20,37.2,21.1,38.696,35.798,Phoenix
2025-05-21,38.9,21.7,39.002,35.906,Phoenix
2025-05-22,41.1,23.3,39.398,36.194,Phoenix
2025-05-23,39.4,23.3,39.092,36.194,Phoenix
2025-05-24,37.8,23.9,38.804,36.302,Phoenix
2025-05-25,36.7,22.8,38.606,36.104,Phoenix
2025-05-26,37.8,22.8,38.804,36.104,Phoenix
2025-05-27,38.3,23.9,38.894,36.302,Phoenix
2025-05-28,39.4,23.3,39.092,36.194,Phoenix
2025-05-29,38.3,26.1,38.894,36.698,Phoenix
2025-05-30,40.0,22.8,39.2,36.104,Phoenix
2025-05-31,38.9,27.8,39.002,37.004,Phoenix
2025-06-01,32.8,20.6,37.903999999999996,35.708,Phoenix
2025-06-02,31.7,19.4,37.706,35.492,Phoenix
2025-06-03,36.1,25.6,38.498,36.608,Phoenix
2025-06-04,35.0,23.9,38.3,36.302,Phoenix
2025-06-05,38.3,25.6,38.894,36.608,Phoenix
2025-06-06,40.0,26.7,39.2,36.806,Phoenix
2025-06-07,40.0,26.7,39.2,36.806,Phoenix
2025-06-08,41.7,26.1,39.506,36.698,Phoenix
2025-06-09,42.8,26.7,39.704,36.806,Phoenix
2025-06-10,42.2,27.2,39.596000000000004,36.896,Phoenix
2025-06-11,42.2,28.3,39.596000000000004,37.094,Phoenix
2025-06-12,42.2,28.9,39.596000000000004,37.202,Phoenix
2025-06-13,42.2,27.8,39.596000000000004,37.004,Phoenix
2025-06-14,43.3,27.8,39.794,37.004,Phoenix
2025-06-15,45.6,27.2,40.208,36.896,Phoenix
2025-06-16,45.6,28.3,40.208,37.094,Phoenix
2025-06-17,43.3,30.0,39.794,37.4,Phoenix
2025-06-18,45.6,28.3,40.208,37.094,Phoenix
2025-06-19,47.2,29.4,40.496,37.292,Phoenix
2025-06-20,43.3,28.9,39.794,37.202,Phoenix
2025-06-21,41.1,27.8,39.398,37.004,Phoenix
2025-06-22,37.2,26.1,38.696,36.698,Phoenix
2025-06-23,40.0,26.7,39.2,36.806,Phoenix
2025-06-24,40.6,27.2,39.308,36.896,Phoenix
2025-06-25,39.4,26.1,39.092,36.698,Phoenix
2025-06-26,40.6,27.2,39.308,36.896,Phoenix
2025-06-27,41.7,27.8,39.506,37.004,Phoenix
2025-06-28,42.8,30.6,39.704,37.508,Phoenix
2025-06-29,45.6,30.6,40.208,37.508,Phoenix
2025-06-30,46.7,32.2,40.406,37.796,Phoenix
2025-07-01,44.4,33.9,39.992,38.102,Phoenix
2025-07-02,42.8,25.6,39.704,36.608,Phoenix
2025-07-03,38.9,25.6,39.002,36.608,Phoenix
2025-07-04,39.4,27.8,39.092,37.004,Phoenix
2025-07-05,41.7,30.0,39.506,37.4,Phoenix
2025-07-06,43.3,30.0,39.794,37.4,Phoenix
