date,TMAX,TMIN,tmax_f,tmin_f,city
2025-04-08,13.3,7.2,34.394,33.296,Seattle
2025-04-09,15.6,4.4,34.808,32.792,Seattle
2025-04-10,15.0,7.8,34.7,33.404,Seattle
2025-04-11,12.8,5.6,34.304,33.008,Seattle
2025-04-12,12.8,5.0,34.304,32.9,Seattle
2025-04-13,16.1,2.8,34.898,32.504,Seattle
2025-04-14,19.4,6.1,35.492,33.098,Seattle
2025-04-15,18.9,7.8,35.402,33.404,Seattle
2025-04-16,16.1,7.2,34.898,33.296,Seattle
2025-04-17,18.3,6.1,35.294,33.098,Seattle
2025-04-18,21.7,6.1,35.906,33.098,Seattle
2025-04-19,15.0,8.3,34.7,33.494,Seattle
2025-04-20,14.4,7.2,34.592,33.296,Seattle
2025-04-21,13.9,6.1,34.502,33.098,Seattle
2025-04-22,15.6,4.4,34.808,32.792,Seattle
2025-04-23,18.9,6.1,35.402,33.098,Seattle
2025-04-24,22.2,6.1,35.996,33.098,Seattle
2025-04-25,21.7,8.3,35.906,33.494,Seattle
2025-04-26,16.7,7.8,35.006,33.404,Seattle
2025-04-27,14.4,6.7,34.592,33.206,Seattle
2025-04-28,12.8,7.8,34.304,33.404,Seattle
2025-04-29,15.0,8.3,34.7,33.494,Seattle
2025-04-30,16.1,6.1,34.898,33.098,Seattle
2025-05-01,24.4,6.1,36.392,33.098,Seattle
2025-05-02,20.6,10.0,35.708,33.8,Seattle
2025-05-03,13.9,7.2,34.502,33.296,Seattle
2025-05-04,16.1,5.6,34.898,33.008,Seattle
2025-05-05,21.1,5.6,35.798,33.008,Seattle
2025-05-06,25.0,8.9,36.5,33.602,Seattle
2025-05-07,18.9,7.8,35.402,33.404,Seattle
2025-05-08,17.2,6.1,35.096000000000004,33.098,Seattle
2025-05-09,21.1,6.7,35.798,33.206,Seattle
2025-05-10,17.2,9.4,35.096000000000004,33.692,Seattle
2025-05-11,16.7,9.4,35.006,33.692,Seattle
2025-05-12,19.4,7.2,35.492,33.296,Seattle
2025-05-13,15.6,8.9,34.808,33.602,Seattle
2025-05-14,16.7,9.4,35.006,33.692,Seattle
2025-05-15,13.3,6.7,34.394,33.206,Seattle
2025-05-16,15.0,8.9,34.7,33.602,Seattle
2025-05-17,16.7,8.9,35.006,33.602,Seattle
2025-05-18,16.7,7.2,35.006,33.296,Seattle
2025-05-19,16.1,8.3,34.898,33.494,Seattle
2025-05-20,15.6,8.3,34.808,33.494,Seattle
2025-05-21,16.7,9.4,35.006,33.692,Seattle
2025-05-22,20.0,9.4,35.6,33.692,Seattle
2025-05-23,19.4,9.4,35.492,33.692,Seattle
2025-05-24,24.4,8.3,36.392,33.494,Seattle
2025-05-25,20.6,10.0,35.708,33.8,Seattle
2025-05-26,19.4,10.6,35.492,33.908,Seattle
2025-05-27,23.9,8.9,36.302,33.602,Seattle
2025-05-28,27.2,12.2,36.896,34.196,Seattle
2025-05-29,20.6,12.2,35.708,34.196,Seattle
2025-05-30,25.0,10.0,36.5,33.8,Seattle
2025-05-31,17.8,11.1,35.204,33.998,Seattle
2025-06-01,19.4,8.3,35.492,33.494,Seattle
2025-06-02,21.7,8.9,35.906,33.602,Seattle
2025-06-03,23.3,10.6,36.194,33.908,Seattle
2025-06-04,19.4,12.2,35.492,34.196,Seattle
2025-06-05,25.0,10.6,36.5,33.908,Seattle
2025-06-06,26.1,13.9,36.698,34.502,Seattle
2025-06-07,27.2,12.8,36.896,34.304,Seattle
2025-06-08,32.2,16.1,37.796,34.898,Seattle
2025-06-09,30.6,16.1,37.508,34.898,Seattle
2025-06-10,27.2,11.7,36.896,34.106,Seattle
2025-06-11,20.6,10.6,35.708,33.908,Seattle
2025-06-12,18.9,10.6,35.402,33.908,Seattle
2025-06-13,17.8,10.0,35.204,33.8,Seattle
2025-06-14,20.0,9.4,35.6,33.692,Seattle
2025-06-15,21.7,11.1,35.906,33.998,Seattle
2025-06-16,23.3,10.0,36.194,33.8,Seattle
2025-06-17,22.8,10.0,36.104,33.8,Seattle
2025-06-18,20.6,12.8,35.708,34.304,Seattle
2025-06-19,20.6,10.0,35.708,33.8,Seattle
2025-06-20,17.2,10.6,35.096000000000004,33.908,Seattle
2025-06-21,14.4,10.0,34.592,33.8,Seattle
2025-06-22,20.0,11.7,35.6,34.106,Seattle
2025-06-23,25.0,11.7,36.5,34.106,Seattle
2025-06-24,26.7,12.2,36.806,34.196,Seattle
2025-06-25,21.7,12.2,35.906,34.196,Seattle
2025-06-26,18.9,12.8,35.402,34.304,Seattle
2025-06-27,20.6,12.8,35.708,34.304,Seattle
2025-06-28,23.9,12.8,36.302,34.304,Seattle
2025-06-29,26.7,12.8,36.806,34.304,Seattle
2025-06-30,30.6,15.6,37.508,34.808,Seattle
2025-07-01,30.6,14.4,37.508,34.592,Seattle
2025-07-02,23.9,12.2,36.302,34.196,Seattle
2025-07-03,20.6,11.7,35.708,34.106,Seattle
2025-07-04,23.3,12.8,36.194,34.304,Seattle
2025-07-05,23.9,11.7,36.302,34.106,Seattle
2025-07-06,26.1,13.9,36.698,34.502,Seattle
