city,date,tmax_f,tmin_f
New York,2025-04-07,33.8,32.7
New York,2025-04-08,33.3,32.31
New York,2025-04-09,33.69,31.91
New York,2025-04-10,33.91,32.79
New York,2025-04-11,33.4,32.79
New York,2025-04-12,32.79,32.4
New York,2025-04-13,34.59,32.7
New York,2025-04-14,35.4,33.6
New York,2025-04-15,35.71,33.6
New York,2025-04-16,33.8,33.21
New York,2025-04-17,35.2,33.01
New York,2025-04-18,35.6,33.6
New York,2025-04-19,37.29,34.2
New York,2025-04-20,36.1,34.3
New York,2025-04-21,34.5,33.8
New York,2025-04-22,37.0,34.11
New York,2025-04-23,36.39,34.2
New York,2025-04-24,36.5,34.39
New York,2025-04-25,36.5,34.81
New York,2025-04-26,36.19,34.11
New York,2025-04-27,34.7,33.6
New York,2025-04-28,36.39,33.91
New York,2025-04-29,36.7,34.39
New York,2025-04-30,36.1,34.7
New York,2025-05-01,35.91,34.0
New York,2025-05-02,37.2,34.5
New York,2025-05-03,37.29,35.1
New York,2025-05-04,35.71,34.81
New York,2025-05-05,34.9,34.5
New York,2025-05-06,35.2,34.5
New York,2025-05-07,36.19,34.3
New York,2025-05-08,36.61,34.81
New York,2025-05-09,34.81,33.91
New York,2025-05-10,36.0,33.8
New York,2025-05-11,36.5,34.59
New York,2025-05-12,36.0,34.5
New York,2025-05-13,35.71,34.59
New York,2025-05-14,35.01,34.39
New York,2025-05-15,35.71,34.7
New York,2025-05-16,36.0,34.9
New York,2025-05-17,37.0,35.1
New York,2025-05-18,36.1,34.9
New York,2025-05-19,35.71,33.91
New York,2025-05-20,35.49,33.69
New York,2025-05-21,34.7,33.69
New York,2025-05-22,33.91,33.6
New York,2025-05-23,35.1,33.49
New York,2025-05-24,35.2,33.6
New York,2025-05-25,35.4,34.0
New York,2025-05-26,36.1,34.0
New York,2025-05-27,36.19,34.5
New York,2025-05-28,35.29,34.0
New York,2025-05-29,35.49,34.3
New York,2025-05-30,36.3,35.01
New York,2025-05-31,35.49,34.11
